Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè],a di,dì/cô,我阿姨来了。Dì tôi đến rồi.
啊,a,modal particle ending sentence; showing affirmation; approval; or consent,a,a/ư,(trợ từ)
矮,ǎi,low; short (in length),ải,thấp,他个子很矮。Anh ấy thấp.
爱,ài,to love; affection; to be fond of; to like,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
爱好,àihào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè],ái hiếu,sở thích,我的爱好是看书。Sở thích của tôi là đọc sách.
安静,ānjìng,quiet; peaceful; calm,an tĩnh,yên tĩnh,图书馆很安静。Thư viện rất yên tĩnh.
八,bā,eight; 8,bát,tám,我有八本书。Tôi có tám quyển sách.
把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,bả,(giới từ),把门关上。Đóng cửa lại.
爸爸,bàbà,(informal) father; CL:個|个[gè];位[wèi],bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
吧,ba,(modal particle indicating polite suggestion); ...right?; ...OK?,ba,trợ từ ngữ khí,我们走吧。Wǒmen zǒu ba. – Chúng ta đi nhé.
白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,bạch,màu trắng,白云。Bái yún – mây trắng.
百,bǎi,hundred; numerous; all kinds of; surname Bai,bách,một trăm,一百块。Yì bǎi kuài – 100 tệ.
班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè],ban,lớp,我们班有30个学生。Lớp chúng tôi có 30 học sinh.
搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,ban,chuyển/dọn,我们要搬家。Chúng tôi sẽ chuyển nhà.
半,bàn,half; semi-; incomplete; (after a number) and a half,bán,nửa,半个小时。Nửa tiếng.
办法,bànfǎ,means; method; way (of doing sth); CL:條|条[tiáo];個|个[gè],biện pháp,cách/phương pháp,我没有办法。Tôi không có cách nào.
办公室,bàngōngshì,an office; business premises; a bureau; CL:間|间[jiān],biện công thất,văn phòng,老师在办公室。Giáo viên ở văn phòng.
帮忙,bāngmáng,to help; to lend a hand; to do a favor; to do a good turn,bang mang,giúp đỡ,你能帮我忙吗？Bạn có thể giúp tôi không?
帮助,bāngzhù,assistance; aid; to help; to assist,giúp trợ,giúp đỡ,谢谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
包,bāo,to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè];隻|只[zhī],bao,gói/bọc,一包糖。Một gói kẹo.
饱,bǎo,to eat till full; satisfied,bão,no/no bụng,我吃饱了。Tôi no rồi.
报纸,bàozhǐ,newspaper; newsprint; CL:份[fèn];期[qī];張|张[zhāng],báo chỉ,tờ báo,我买报纸。Tôi mua báo.
杯子,bēizi,cup; glass; CL:個|个[gè];支[zhī];枝[zhī],bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北方,běifāng,north; the northern part a country; China north of the Yellow River,bắc phương,phương Bắc/miền Bắc,我来自北方。Tôi đến từ miền Bắc.
北京,běijīng,Beijing; capital of People's Republic of China; Peking; PRC government,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),bị,(bị động),他被老师批评了。Anh ấy bị giáo viên phê bình.
本,běn,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
鼻子,bízi,nose; CL:個|个[gè];隻|只[zhī],tị tử,mũi,我的鼻子很疼。Mũi tôi đau lắm.
比,bǐ,(particle used for comparison and -er than); to compare; to contrast; to gesture (with hands); ratio,tỉ,so với/hơn,他跑得比我快。Anh ấy chạy nhanh hơn tôi.
比较,bǐjiào,compare; contrast; fairly; comparatively; relatively; quite; rather,tỉ giảo,so sánh/khá,这个比较好。Cái này khá tốt.
比赛,bǐsài,competition (sports etc); match; CL:場|场[chǎng];次[cì],tỉ tái,thi đấu/cuộc thi,足球比赛。Trận đấu bóng đá.
必须,bìxū,to have to; must; compulsory; necessarily,tất tu,phải/cần phải,我们必须努力。Chúng ta phải cố gắng.
变化,biànhuà,change; variation; to change; to vary; CL:個|个[gè],biến hóa,thay đổi,天气变化很大。Thời tiết thay đổi lớn.
表示,biǎoshì,to express; to show; to say; to state; to indicate; to mean,biểu thị,biểu thị/thể hiện,表示感谢。Bày tỏ lòng cảm ơn.
表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng],biểu diễn,biểu diễn,他们在表演节目。Họ đang biểu diễn chương trình.
别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,biệt,đừng,别说话。Đừng nói chuyện.
别人,biérén,other people; others; other person,biệt nhân,người khác,不要管别人。Đừng quản người khác.
宾馆,bīnguǎn,guesthouse; CL:個|个[gè];家[jiā],tân quán,khách sạn,我住在宾馆。Tôi ở khách sạn.
冰箱,bīngxiāng,icebox; freezer cabinet; refrigerator; CL:臺|台[tái];個|个[gè],băng tương,tủ lạnh,把牛奶放在冰箱里。Để sữa trong tủ lạnh.
不客气,búkèqì,you're welcome; impolite; rude; blunt; don't mention it,bất khách khí,không có gì,A：谢谢！B：不客气！
不,bù,(negative prefix); not; no,bất,không,我不去。Tôi không đi.
才,cái,ability; talent; endowment; gift; an expert; only (then); only if; just,tài,mới,他才来。Anh ấy mới đến.
菜,cài,dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán];道[dào],thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
菜单,càidān,menu; CL:份[fèn];張|张[zhāng],thái đơn,thực đơn,请给我菜单。Cho tôi xin thực đơn.
参加,cānjiā,to participate; to take part; to join,tham gia,tham gia,我参加了比赛。Tôi đã tham gia cuộc thi.
草,cǎo,grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[kē];撮[zuǒ];株[zhū];根[gēn],thảo,cỏ,草地上有很多草。Trên bãi cỏ có nhiều cỏ.
